# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,0.000000000000000000e+00,3.306245053391977662e-02,7.761995465111316828e-02,1.769355269357287288e+08,1.867158246920591593e+08,5.849922107005560771e+06,4.300394333168072253e+07,3.972423185098233516e+05,4.800755128144442290e+07,3.913332275346703362e+06,5.070822370227964222e+07,8.813871622980546938e-01,4.932751061304906370e-01,4.932751061304906370e-01,9.556253228141055045e-01,9.521878540992003911e-03,3.485279864490248986e-02,9.181654292833494324e-01,4.164123208810721621e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.016155212570472344e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.100000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,4.924557014454999566e+07,3.608776038258855456e-02,5.405964117615776054e-02,2.856955770475413203e+08,3.482298866463544313e+06,1.031011352685703710e+07,7.425427711721639335e+07,2.214046450131793972e+06,1.741109573203568459e+08,1.062486876522117673e+05,2.016510180603695568e+06,4.198012073557070845e-01,9.005738558685103534e-01,9.005738558685103534e-01,8.845707205380813898e-01,8.829467154996846479e-02,2.713460791195014543e-02,4.646002073759772366e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.016155212570472344e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.200000000000000000e+02,0.000000000000000000e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,4.913788082381525636e+07,3.630617936870204204e-02,5.430562349508116088e-02,2.877931936377940774e+08,3.541444667611981276e+06,1.044867130930535123e+07,7.514470979867839813e+07,2.318359813156490214e+06,1.753403137743878961e+08,1.085646557077225152e+05,2.050555531791874440e+06,4.197973324137994622e-01,9.001465256345071442e-01,9.001465256345071442e-01,8.846789467677910190e-01,8.807346254553671816e-02,2.724759068667226281e-02,4.645639954028675245e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.016155212570472344e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.000000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,3.057366199288933352e+07,3.799316002631092370e-02,5.723779493485633973e-02,1.969126802580184937e+08,3.225289639647393487e+06,7.481334972252693027e+06,5.322475797731956095e+07,2.051442599004603690e+06,1.195801043169248104e+08,1.036308294544454839e+05,1.858244345284810988e+06,4.167461066590336660e-01,8.865392877614585165e-01,8.865392877614585165e-01,8.770840129929650120e-01,9.290327023983142862e-02,3.001271676720355941e-02,4.645572985017099032e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.159012355427615049e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.100000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,3.039467393325014040e+07,3.828743949478191633e-02,5.752372727341831249e-02,1.986281529119192660e+08,3.300121168556028977e+06,7.604963386575399898e+06,5.400417168542860448e+07,2.151233742913056631e+06,1.205159807373501360e+08,1.065574723867992434e+05,1.900530055168678984e+06,4.170155047553512628e-01,8.858200037707611996e-01,8.858200037707611996e-01,8.767674674055466744e-01,9.288034017273563703e-02,3.035219242171768861e-02,4.650348990988329434e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.159012355427615049e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.200000000000000000e+02,1.428571428571428603e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,3.016462500918378308e+07,3.858162093541922522e-02,5.785779667075098553e-02,2.000671118290345967e+08,3.389894249914262444e+06,7.718913470231940039e+06,5.471252633605564386e+07,2.248470229381218087e+06,1.213136564362960905e+08,1.100990316378097777e+05,1.951533420146317454e+06,4.174458420748942689e-01,8.848239704110699710e-01,8.848239704110699710e-01,8.777798763060044029e-01,9.178420825210550915e-02,3.043591544189008791e-02,4.651136717417259092e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.159012355427615049e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.000000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,1.777722316367780045e+07,4.090860768854297225e-02,6.143377410474847727e-02,1.356204929403727949e+08,3.210182781697656959e+06,5.548045540224522352e+06,3.877031312964093685e+07,1.967367617722873576e+06,8.184326556749428809e+07,1.101238342908371851e+05,1.838410894483254058e+06,4.145764355019206371e-01,8.666625217096958211e-01,8.666625217096958211e-01,8.697670605683455181e-01,9.664805786812673272e-02,3.358488156352774923e-02,4.655403131161580665e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301869498284758109e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.100000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,1.751599183154424652e+07,4.130831764983104032e-02,6.182979200167947748e-02,1.366524385254971385e+08,3.320451502984278835e+06,5.644882338235245086e+06,3.935322186930967867e+07,2.058255144574607490e+06,8.238151431805025041e+07,1.146483195882868604e+05,1.900717023521335097e+06,4.150781286065109432e-01,8.651418497325910062e-01,8.651418497325910062e-01,8.701504206923784679e-01,9.625680974558256664e-02,3.359276956203896547e-02,4.659567334453901255e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301869498284758109e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.200000000000000000e+02,2.857142857142857206e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,0.000000000000000000e+00,4.398758306182579125e-02,5.000000000000000000e-01,1.437014598773480654e+08,1.564372514586461184e+05,6.321079902460474521e+06,4.338794690477866679e+07,2.934317497451764066e+06,4.931227143539205194e+07,6.881296592500922998e+03,1.000000000000000036e-10,3.438517317734040013e-01,9.680595114429557668e-01,9.680595114429557668e-01,8.134443474296854104e-01,5.560469975475729881e-02,1.309509528155572977e-01,3.959841379686366292e-01,3.909862505667039967e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.301869498284758109e+01,5.462092499192617652e+03,9.983861226225416718e-01
2.000000000000000000e+02,4.285714285714285587e+00,2.999999999999999889e-02,1.000000000000000082e-05,9.000000000000000000e+01,9.210178396008441225e+06,4.491775991971203724e-02,6.653820018333647668e-02,9.124022895218378305e+07,3.495801323715902399e+06,4.098306699093750678e+06,2.798400215454118699e+07,1.836941226870085346e+06,5.463739482893308997e+07,1.295018141112132435e+05,1.992279213559378870e+06,4.124760965628044840e-01,8.363020157502114582e-01,8.363020157502114582e-01,8.642237310816377471e-01,9.904369121598061154e-02,3.673257770238164133e-02,4.658188764816248439e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.444726641141900814e+01,5.462092499192617652e+03,9.983861226225416718e-01
