# Nopt,Ntot,x0i,x1i,x2i,x3i,x4i,x0,x1,x2,x3,x4,1/fun,status,success,nfev,maxcv
1.000000000000000000e+01,6.218000000000000000e+03,9.251060851494998793e-01,7.205672705614026841e-01,2.645945390474961356e-01,7.785548561770456732e-01,4.420602907419250993e-01,9.597576597388918218e-01,9.546490974825755371e-01,3.436359337912213430e-02,6.330901581468475481e-01,1.000000000000002276e-01,6.961307662743418681e-09,1.000000000000000000e+00,1.000000000000000000e+00,6.200000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+01,2.232000000000000000e+03,3.909091949271913391e-01,8.593783300911544965e-01,7.652372299554856261e-02,5.688560652132306217e-01,2.451834208804994364e-01,9.599735117928019923e-01,9.546035185054821959e-01,3.442811398046820293e-02,6.252035909412984038e-01,1.000000000000002276e-01,6.907804680180262335e-09,1.000000000000000000e+00,1.000000000000000000e+00,5.130000000000000000e+02,0.000000000000000000e+00
2.900000000000000000e+01,1.213000000000000000e+03,9.599735117928019923e-01,9.546035185054821959e-01,3.442811398046820293e-02,6.252035909412984038e-01,1.000000000000002276e-01,9.598938361800523067e-01,9.549289764394471858e-01,3.412555395734791219e-02,6.275119688033253817e-01,1.000000000000002276e-01,6.863130793682274383e-09,1.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.796000000000000000e+03,7.626545603564607312e-01,7.506838520242359314e-01,5.355154194594259100e-03,8.112448965960070701e-01,1.471720401562170155e-01,9.545168564746547846e-01,9.492115986925120374e-01,3.798038649539849099e-02,6.302921722778788149e-01,1.000000000000002276e-01,1.135764299968683956e-08,1.000000000000000000e+00,1.000000000000000000e+00,7.460000000000000000e+02,0.000000000000000000e+00
1.900000000000000000e+01,2.178000000000000000e+03,7.639713184697807247e-01,6.110733777274056644e-01,2.621627708295166670e-01,4.930751138500062969e-01,1.925971126667779809e-01,9.545712006613058520e-01,9.492940185998246516e-01,3.808117705438090334e-02,6.251882060513908046e-01,1.000000000000002276e-01,1.127246825055493346e-08,1.000000000000000000e+00,1.000000000000000000e+00,1.074000000000000000e+03,0.000000000000000000e+00
2.300000000000000000e+01,1.213000000000000000e+03,9.545712006613058520e-01,9.492940185998246516e-01,3.808117705438090334e-02,6.251882060513908046e-01,1.000000000000002276e-01,9.545713861128938271e-01,9.493000943139562331e-01,3.808037936734225831e-02,6.271350753688359481e-01,1.000000000000002276e-01,1.120194487440810119e-08,1.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.135000000000000000e+03,9.817292907716366201e-01,6.602360142673473486e-01,8.046587250646164424e-02,9.619770071572779635e-01,1.993600769493950875e-01,9.485763168443717142e-01,9.425388477929762532e-01,4.275385537494096055e-02,6.281360649469239776e-01,1.000000000000002276e-01,1.865374473099593241e-08,1.000000000000000000e+00,1.000000000000000000e+00,6.440000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+01,1.290000000000000000e+03,9.545712006613058520e-01,9.492940185998246516e-01,3.808117705438090334e-02,6.251882060513908046e-01,1.000000000000002276e-01,9.484630000974989539e-01,9.434790612816741362e-01,4.197065822775576660e-02,6.251943184931040287e-01,1.000000000000002276e-01,1.852015612563374306e-08,1.000000000000000000e+00,1.000000000000000000e+00,7.400000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.426000000000000000e+03,9.545713861128938271e-01,9.493000943139562331e-01,3.808037936734225831e-02,6.271350753688359481e-01,1.000000000000002276e-01,9.485314609152092347e-01,9.431938161128028408e-01,4.214285846804887575e-02,6.263624702149087620e-01,1.000000000000002276e-01,1.841059726163524497e-08,1.000000000000000000e+00,1.000000000000000000e+00,9.300000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,6.400000000000000000e+03,5.000000000000000000e-01,6.999999999999999556e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.999999999999999889e-01,9.414677449944626186e-01,9.348632724233850722e-01,4.825703703685096935e-02,6.259415239513449469e-01,1.000000000000002276e-01,3.093061839487724229e-08,1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+02,0.000000000000000000e+00
