# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
3.270000000000000000e+02,2.195522730199643210e-02,9.719156534392925170e-06,1.879927587827870394e-02,1.634885927702253716e-02,3.162277660168379134e-02,2.437063346629694570e+06
3.260000000000000000e+02,2.312917211024776570e-02,1.097417620497397563e-05,1.890773899707429498e-02,1.835406774819055287e-02,3.162277660168379134e-02,2.430002697787622921e+06
3.250000000000000000e+02,2.430672846410180526e-02,1.224726338185703606e-05,1.901713772453653833e-02,2.036544507992650577e-02,3.162277660168379134e-02,2.422942240992535371e+06
3.240000000000000000e+02,2.548792792618725239e-02,1.353870072040324246e-05,1.912748264749119728e-02,2.238304518417753505e-02,3.162277660168379134e-02,2.415881986642405391e+06
3.230000000000000000e+02,2.667280242222357101e-02,1.484877593095046389e-05,1.923878449985170699e-02,2.440692259308404818e-02,3.162277660168379134e-02,2.408821945231384598e+06
3.220000000000000000e+02,2.786138424617336934e-02,1.617778188157693379e-05,1.935105416502174575e-02,2.643713246778047962e-02,3.162277660168379134e-02,2.401762127351194620e+06
3.210000000000000000e+02,2.905370606547604331e-02,1.752601670320240077e-05,1.946430267834241626e-02,2.847373060733485520e-02,3.162277660168379134e-02,2.394702543692545034e+06
3.200000000000000000e+02,3.024980092637321802e-02,1.889378389709500891e-05,1.957854122958500170e-02,3.051677345784513037e-02,3.162277660168379134e-02,2.387643205046576448e+06
3.190000000000000000e+02,3.144970225931957575e-02,2.028139244483632690e-05,1.969378116549035454e-02,3.256631812168141876e-02,3.162277660168379134e-02,2.380584122306325007e+06
3.180000000000000000e+02,3.265344388449043650e-02,2.168915692081678647e-05,1.981003399235564677e-02,3.462242236689342528e-02,3.162277660168379134e-02,2.373525306468223222e+06
3.170000000000000000e+02,3.386106001737634874e-02,2.311739760731392423e-05,1.992731137866984512e-02,3.668514463676657983e-02,3.162277660168379134e-02,2.366466768633608241e+06
3.160000000000000000e+02,3.507258527447912333e-02,2.466399972410372675e-05,2.004562515779841417e-02,3.890844746619931405e-02,3.162277660168379134e-02,2.359408520010277629e+06
