# dt (s),ls (dB),Pec,QBERI,SKL (b),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.841944306582487226e+08,2.013851991281286757e+01
2.100000000000000000e+02,0.000000000000000000e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.859132334392897785e+08,2.013851991281286757e+01
2.200000000000000000e+02,0.000000000000000000e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.874073602043101490e+08,2.013851991281286757e+01
2.000000000000000000e+02,1.428571428571428603e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.305946691856551766e+08,2.156709134138429462e+01
2.100000000000000000e+02,1.428571428571428603e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.318142822656971514e+08,2.156709134138429462e+01
2.200000000000000000e+02,1.428571428571428603e+00,9.999999999999999547e-08,5.000000000000000104e-03,1.328740183088333458e+08,2.156709134138429462e+01
2.000000000000000000e+02,2.857142857142857206e+00,9.999999999999999547e-08,5.000000000000000104e-03,9.244581130748638511e+07,2.299566276995572522e+01
2.100000000000000000e+02,2.857142857142857206e+00,9.999999999999999547e-08,5.000000000000000104e-03,9.330902889467240870e+07,2.299566276995572522e+01
2.200000000000000000e+02,2.857142857142857206e+00,9.999999999999999547e-08,5.000000000000000104e-03,9.405853766541713476e+07,2.299566276995572522e+01
2.000000000000000000e+02,4.285714285714285587e+00,9.999999999999999547e-08,5.000000000000000104e-03,6.531738353913151473e+07,2.442423419852715227e+01
2.100000000000000000e+02,4.285714285714285587e+00,9.999999999999999547e-08,5.000000000000000104e-03,6.592642731162535399e+07,2.442423419852715227e+01
2.200000000000000000e+02,4.285714285714285587e+00,9.999999999999999547e-08,5.000000000000000104e-03,6.645478685781385005e+07,2.442423419852715227e+01
2.000000000000000000e+02,5.714285714285714413e+00,9.999999999999999547e-08,5.000000000000000104e-03,4.604600703068991005e+07,2.585280562709858287e+01
2.100000000000000000e+02,5.714285714285714413e+00,9.999999999999999547e-08,5.000000000000000104e-03,4.647390916676758230e+07,2.585280562709858287e+01
2.200000000000000000e+02,5.714285714285714413e+00,9.999999999999999547e-08,5.000000000000000104e-03,4.684445237196419388e+07,2.585280562709858287e+01
2.000000000000000000e+02,7.142857142857143238e+00,9.999999999999999547e-08,5.000000000000000104e-03,3.237226667543472350e+07,2.728137705567000992e+01
2.100000000000000000e+02,7.142857142857143238e+00,9.999999999999999547e-08,5.000000000000000104e-03,3.267108745149494335e+07,2.728137705567000992e+01
2.200000000000000000e+02,7.142857142857143238e+00,9.999999999999999547e-08,5.000000000000000104e-03,3.292924408938467875e+07,2.728137705567000992e+01
2.000000000000000000e+02,8.571428571428571175e+00,9.999999999999999547e-08,5.000000000000000104e-03,2.268332614525766298e+07,2.870994848424143697e+01
2.100000000000000000e+02,8.571428571428571175e+00,9.999999999999999547e-08,5.000000000000000104e-03,2.289038790207660571e+07,2.870994848424143697e+01
2.200000000000000000e+02,8.571428571428571175e+00,9.999999999999999547e-08,5.000000000000000104e-03,2.306865561303321272e+07,2.870994848424143697e+01
2.000000000000000000e+02,1.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.582883837080298178e+07,3.013851991281286757e+01
2.100000000000000000e+02,1.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.597068418756562844e+07,3.013851991281286757e+01
2.200000000000000000e+02,1.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.609219880185183883e+07,3.013851991281286757e+01
2.000000000000000000e+02,1.142857142857142883e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.098837326367373578e+07,3.156709134138429818e+01
2.100000000000000000e+02,1.142857142857142883e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.108401674653485604e+07,3.156709134138429818e+01
2.200000000000000000e+02,1.142857142857142883e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.116532745657898858e+07,3.156709134138429818e+01
2.000000000000000000e+02,1.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,7.577485549696235918e+06,3.299566276995572878e+01
2.100000000000000000e+02,1.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,7.640488359305894934e+06,3.299566276995572878e+01
2.200000000000000000e+02,1.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,7.693417509790728800e+06,3.299566276995572878e+01
2.000000000000000000e+02,1.428571428571428648e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.180159392470979132e+06,3.442423419852715227e+01
2.100000000000000000e+02,1.428571428571428648e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.220210946161135100e+06,3.442423419852715227e+01
2.200000000000000000e+02,1.428571428571428648e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.253208258850098588e+06,3.442423419852715227e+01
2.000000000000000000e+02,1.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,3.501336671439973637e+06,3.585280562709858287e+01
2.100000000000000000e+02,1.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,3.525366144792797510e+06,3.585280562709858287e+01
2.200000000000000000e+02,1.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,3.544502189897831995e+06,3.585280562709858287e+01
2.000000000000000000e+02,1.714285714285714235e+01,9.999999999999999547e-08,5.000000000000000104e-03,2.331656661820695736e+06,3.728137705567000637e+01
2.100000000000000000e+02,1.714285714285714235e+01,9.999999999999999547e-08,5.000000000000000104e-03,2.344684186709300615e+06,3.728137705567000637e+01
2.200000000000000000e+02,1.714285714285714235e+01,9.999999999999999547e-08,5.000000000000000104e-03,2.354338094504584558e+06,3.728137705567000637e+01
2.000000000000000000e+02,1.857142857142857295e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.521204314064673614e+06,3.870994848424143697e+01
2.100000000000000000e+02,1.857142857142857295e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.526821802879728144e+06,3.870994848424143697e+01
2.200000000000000000e+02,1.857142857142857295e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.530141423904036405e+06,3.870994848424143697e+01
2.000000000000000000e+02,2.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,9.640076953630619682e+05,4.013851991281286757e+01
2.100000000000000000e+02,2.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,9.648130332296211272e+05,4.013851991281286757e+01
2.200000000000000000e+02,2.000000000000000000e+01,9.999999999999999547e-08,5.000000000000000104e-03,9.640831919013537699e+05,4.013851991281286757e+01
2.000000000000000000e+02,2.142857142857143060e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.853511361055901507e+05,4.156709134138429818e+01
2.100000000000000000e+02,2.142857142857143060e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.832334141804196406e+05,4.156709134138429818e+01
2.200000000000000000e+02,2.142857142857143060e+01,9.999999999999999547e-08,5.000000000000000104e-03,5.801187448198071215e+05,4.156709134138429818e+01
2.000000000000000000e+02,2.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,3.326013253221868072e+05,4.299566276995572878e+01
2.100000000000000000e+02,2.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,3.289450432426874177e+05,4.299566276995572878e+01
2.200000000000000000e+02,2.285714285714285765e+01,9.999999999999999547e-08,5.000000000000000104e-03,0.000000000000000000e+00,4.299566276995572878e+01
2.000000000000000000e+02,2.428571428571428470e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.689253798967243929e+05,4.442423419852715227e+01
2.100000000000000000e+02,2.428571428571428470e+01,9.999999999999999547e-08,5.000000000000000104e-03,0.000000000000000000e+00,4.442423419852715227e+01
2.200000000000000000e+02,2.428571428571428470e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.603445743596768880e+05,4.442423419852715227e+01
2.000000000000000000e+02,2.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,6.824532183823817468e+04,4.585280562709858287e+01
2.100000000000000000e+02,2.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,0.000000000000000000e+00,4.585280562709858287e+01
2.200000000000000000e+02,2.571428571428571530e+01,9.999999999999999547e-08,5.000000000000000104e-03,6.045524561110816285e+04,4.585280562709858287e+01
2.000000000000000000e+02,2.714285714285714235e+01,9.999999999999999547e-08,5.000000000000000104e-03,1.269247209183736777e+04,4.728137705567000637e+01
