# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,9.615584456332719326e+07,2.053120198997508347e-02,4.195585135360427320e-02,3.407239509709753394e+08,8.734073687794313300e+05,6.995472260207461193e+06,5.707768036939371377e+07,1.488624380346846192e+04,2.046162262420215309e+08,1.793210310794316683e+04,4.551759192384158378e+05,4.571137593557331735e-01,9.518099544486077201e-01,9.518099544486077201e-01,9.410225709684144624e-01,4.687160980939240884e-02,1.210581922219312878e-02,4.807818774306314435e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.020393190350815615e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.100000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,9.706224943396849930e+07,2.053326261302504396e-02,4.195599850647541151e-02,3.439510455873711705e+08,8.774827570563992485e+05,7.062437145070040599e+06,5.762286386989592016e+07,1.582458891776306882e+04,2.065536805099833906e+08,1.801758388904030289e+04,4.572758385946524795e+05,4.571994869400973771e-01,9.519192653441478358e-01,9.519192653441478358e-01,9.412668686370493365e-01,4.671205063126525336e-02,1.202108073168541014e-02,4.807651230009083454e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.020393190350815615e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.200000000000000000e+02,0.000000000000000000e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,0.000000000000000000e+00,2.051887839010291259e-02,5.000000000000000000e-01,5.357374523297829628e+08,3.802952953621993220e+04,1.099273163337837346e+07,8.970340712346956134e+07,1.969806987880274028e+04,2.280968595771580338e+08,7.803232917865235549e+02,1.000000000000000036e-10,6.515776988204202702e-01,9.916451097976939355e-01,9.916451097976939355e-01,9.206186998307523961e-01,2.324632634000427939e-02,5.613497382924332452e-02,7.004575139866793254e-01,2.892247535797635161e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.020393190350815615e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.000000000000000000e+02,1.428571428571428603e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,6.778545637472671270e+07,2.055155201315174429e-02,4.255543558924721609e-02,2.415635172942592502e+08,7.428214389325384982e+05,4.964505190152850002e+06,4.049823253157635778e+07,1.516161235917997874e+04,1.451107332049782574e+08,1.526613343870628887e+04,3.840532308946649428e+05,4.542447977181554575e-01,9.474603028276218364e-01,9.474603028276218364e-01,9.370872781198176238e-01,4.962340574213978256e-02,1.328931613804259365e-02,4.794456905288340121e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.163250333207958320e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.100000000000000000e+02,1.428571428571428603e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,6.842529226823100448e+07,2.055444356313534948e-02,4.251941810015538031e-02,2.437625316862122715e+08,7.492933930411139736e+05,5.010403200351242907e+06,4.087145618964225799e+07,1.609334396984787236e+04,1.464355134729473293e+08,1.540130875949377332e+04,3.876669720399029902e+05,4.542601255974523800e-01,9.474699378195822197e-01,9.474699378195822197e-01,9.370935153284243313e-01,4.973210704425814338e-02,1.317437762731752532e-02,4.794472563771444151e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.163250333207958320e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.200000000000000000e+02,1.428571428571428603e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,6.898243599569723010e+07,2.055741127684247369e-02,4.254878276726284381e-02,2.457661487549162507e+08,7.428891149224563269e+05,5.052315797880460508e+06,4.121211719105605781e+07,1.712435939238792707e+04,1.476632858088696897e+08,1.527187706855042779e+04,3.842524043506560847e+05,4.540386047669244807e-01,9.478856967859786709e-01,9.478856967859786709e-01,9.368216161789615359e-01,4.989812571840355343e-02,1.328025810263491063e-02,4.793322276514401792e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.163250333207958320e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.000000000000000000e+02,2.857142857142857206e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,4.768641220631645620e+07,2.058012026737966044e-02,4.320592661253058742e-02,1.709927276676677763e+08,6.250840345153961098e+05,3.519050900247900281e+06,2.869859112912204489e+07,1.541936851203050173e+04,1.027585319789596796e+08,1.286430460754574779e+04,3.206881551944939420e+05,4.508688878419794266e-01,9.429854903542779221e-01,9.429854903542779221e-01,9.315393264515455796e-01,5.387282211184551972e-02,1.458785143660890071e-02,4.782209327949041300e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.306107476065101380e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.100000000000000000e+02,2.857142857142857206e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,4.813653998177264631e+07,2.058416707262628043e-02,4.323058321787169589e-02,1.726555950912225544e+08,6.241028455728156259e+05,3.553971615381439216e+06,2.898219519940647110e+07,1.636138152052697114e+04,1.037599108348692209e+08,1.284663724377232029e+04,3.200805690871957922e+05,4.508824779540537842e-01,9.432871255137229571e-01,9.432871255137229571e-01,9.314578656718902616e-01,5.410218284156818186e-02,1.443995148654155652e-02,4.782527219828280884e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.306107476065101380e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.200000000000000000e+02,2.857142857142857206e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,4.852803732177291811e+07,2.058827200013357492e-02,4.318338589788868476e-02,1.739953605237536728e+08,6.292008913594215410e+05,3.582263809224344324e+06,2.921170661916045845e+07,1.736520704951405060e+04,1.045645950591104329e+08,1.295415909403426485e+04,3.230139927558826166e+05,4.508628632619116616e-01,9.432762751311061233e-01,9.432762751311061233e-01,9.314108204254999412e-01,5.404866446985578943e-02,1.454051510464426933e-02,4.782615651935692713e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.306107476065101380e+01,2.945028830006158842e+03,9.886909480353387458e-01
2.000000000000000000e+02,4.285714285714285587e+00,2.000000000000000042e-02,9.999999999999999547e-08,9.000000000000000000e+01,3.346331454860344902e+07,2.062021011324874364e-02,4.395048265231243922e-02,1.208475210845617503e+08,5.250106934721331345e+05,2.491901276428921148e+06,2.031377208875015378e+07,1.566043219551713992e+04,7.266277011939573288e+07,1.082583081109781415e+04,2.670584052178284037e+05,4.471890406195522250e-01,9.381636557928265674e-01,9.381636557928265674e-01,9.257354190284307061e-01,5.819575006552808738e-02,1.606883090604120656e-02,4.767771185380607069e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.448964618922244085e+01,2.945028830006158842e+03,9.886909480353387458e-01
