# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
3.460000000000000000e+02,2.969849327485259605e-04,0.000000000000000000e+00,1.536056920515252618e-02,1.707748086748083578e-03,3.162277660168379134e-02,2.571238993907596916e+06,inf,0.000000000000000000e+00
3.450000000000000000e+02,1.407859332514441782e-03,0.000000000000000000e+00,1.544470469472387919e-02,3.301571221063411606e-03,3.162277660168379134e-02,2.564176553318195045e+06,inf,0.000000000000000000e+00
3.440000000000000000e+02,2.521808306642985258e-03,0.000000000000000000e+00,1.552953154190446841e-02,4.899805590121714648e-03,3.162277660168379134e-02,2.557114123795433901e+06,inf,0.000000000000000000e+00
3.430000000000000000e+02,3.638857393661015793e-03,0.000000000000000000e+00,1.561505721604340702e-02,6.502487835234496520e-03,3.162277660168379134e-02,2.550051714145898819e+06,inf,0.000000000000000000e+00
3.420000000000000000e+02,4.759032411774387870e-03,0.000000000000000000e+00,1.570128928584738071e-02,8.109654998981717655e-03,3.162277660168379134e-02,2.542989333249877673e+06,inf,0.000000000000000000e+00
3.410000000000000000e+02,5.882359462649965412e-03,0.000000000000000000e+00,1.578823542093968010e-02,9.721344530638022924e-03,3.162277660168379134e-02,2.535926990062378347e+06,inf,0.000000000000000000e+00
3.400000000000000000e+02,7.008864935261531481e-03,0.000000000000000000e+00,1.587590339344739643e-02,1.133759429169064331e-02,3.162277660168379134e-02,2.528864693614156917e+06,inf,0.000000000000000000e+00
3.390000000000000000e+02,8.138575509791169671e-03,0.000000000000000000e+00,1.596430107961700762e-02,1.295844256143690275e-02,3.162277660168379134e-02,2.521802453012768645e+06,inf,0.000000000000000000e+00
3.380000000000000000e+02,9.271518161601205801e-03,0.000000000000000000e+00,1.605343646145914946e-02,1.458392804268292958e-02,3.162277660168379134e-02,2.514740277443632018e+06,inf,0.000000000000000000e+00
3.370000000000000000e+02,1.040772016526464797e-02,0.000000000000000000e+00,1.614331762842308518e-02,1.621408986752632952e-02,3.162277660168379134e-02,2.507678176171114203e+06,inf,0.000000000000000000e+00
3.360000000000000000e+02,1.154720909866118091e-02,0.000000000000000000e+00,1.623395277910144596e-02,1.784896760323289797e-02,3.162277660168379134e-02,2.500616158539631404e+06,inf,0.000000000000000000e+00
3.350000000000000000e+02,1.269001284714401517e-02,0.000000000000000000e+00,1.632535022296595362e-02,1.948860125821497841e-02,3.162277660168379134e-02,2.493554233974767849e+06,inf,0.000000000000000000e+00
3.340000000000000000e+02,1.383615960776845254e-02,0.000000000000000000e+00,1.641751838213455911e-02,2.113303128809840975e-02,3.162277660168379134e-02,2.486492411984414794e+06,inf,0.000000000000000000e+00
3.330000000000000000e+02,1.498567789359341561e-02,0.000000000000000000e+00,1.651046579317088508e-02,2.278229860189409303e-02,3.162277660168379134e-02,2.479430702159930021e+06,inf,0.000000000000000000e+00
3.320000000000000000e+02,1.613859653805133076e-02,0.000000000000000000e+00,1.660420110891635756e-02,2.443644456826770187e-02,3.162277660168379134e-02,2.472369114177313168e+06,inf,0.000000000000000000e+00
3.310000000000000000e+02,1.729494469939103080e-02,0.000000000000000000e+00,1.669873310035599120e-02,2.609551102191409733e-02,3.162277660168379134e-02,2.465307657798402477e+06,inf,0.000000000000000000e+00
3.300000000000000000e+02,1.845475186519083752e-02,1.586589766523976993e-05,1.679407065851822034e-02,2.989301228475655867e-02,3.162277660168379134e-02,2.458246342872091569e+06,6.064270946519681253e+06,9.993991876171415267e-01
3.290000000000000000e+02,1.961804785694889683e-02,1.818875824448744710e-05,1.689022279640960827e-02,3.404028994499471578e-02,3.162277660168379134e-02,2.451185179335570429e+06,5.771971045897866599e+06,1.000401701318188730e+00
3.280000000000000000e+02,2.078486283474802535e-02,2.052110509248747272e-05,1.698719865098524337e-02,3.820011317600609940e-02,3.162277660168379134e-02,2.444124177215579432e+06,5.478786934140294790e+06,1.000032995103209199e+00
3.270000000000000000e+02,2.195522730199643210e-02,2.289622679149460005e-05,1.708500748515532838e-02,4.237259072578290764e-02,3.162277660168379134e-02,2.437063346629694570e+06,5.184710946694477461e+06,1.000146746575852230e+00
3.260000000000000000e+02,2.312917211024776570e-02,2.530612991887448121e-05,1.718365868982892411e-02,4.655783258349396186e-02,3.162277660168379134e-02,2.430002697787622921e+06,4.889735331529865973e+06,1.000270224328737356e+00
3.250000000000000000e+02,2.430672846410180526e-02,2.771168635469391098e-05,1.728316178599538164e-02,5.075594999695622056e-02,3.162277660168379134e-02,2.422942240992535371e+06,4.593852247906460427e+06,9.989708110197180746e-01
3.240000000000000000e+02,2.548792792618725239e-02,3.019996179067602229e-05,1.738352642684454566e-02,5.496705549039897221e-02,3.162277660168379134e-02,2.415881986642405391e+06,4.297053765122790821e+06,9.994614283764668983e-01
3.230000000000000000e+02,2.667280242222357101e-02,3.271633995332893174e-05,1.748476239992618683e-02,5.919126288250987217e-02,3.162277660168379134e-02,2.408821945231384598e+06,3.999331861244031228e+06,9.996486209175532434e-01
3.220000000000000000e+02,2.786138424617336934e-02,3.526387476120194182e-05,1.758687962934971441e-02,6.342868730480369366e-02,3.162277660168379134e-02,2.401762127351194620e+06,3.700678421807374340e+06,9.996673681996031124e-01
3.210000000000000000e+02,2.905370606547604331e-02,3.784812531466491613e-05,1.768988817802490815e-02,6.767944522028092325e-02,3.162277660168379134e-02,2.394702543692545034e+06,3.401085238506974652e+06,9.996834338112114970e-01
