# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB),sigma2,T_turb
2.000000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,2.828631477373787388e+07,4.710205892080907703e-02,6.503586973533072302e-02,2.171950383708654940e+08,3.718286529176930431e+06,1.023033349465189502e+07,6.902238030100922287e+07,2.212417906898164656e+06,1.456568184649967253e+08,1.522094548286736826e+05,2.390827645510565955e+06,3.323550182613945747e-01,8.842969979702690608e-01,8.842969979702690608e-01,8.607401924638712343e-01,1.100014691147593315e-01,2.925833842136943419e-02,3.733471193323033011e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.029742870109349440e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.100000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,2.812541019226838276e+07,4.736259347634398653e-02,6.528564189175212196e-02,2.189525815925606787e+08,3.817799126595448703e+06,1.037016211256448925e+07,6.986771710014496744e+07,2.318740965966104995e+06,1.467580385330787897e+08,1.568976510634494771e+05,2.454238397950320039e+06,3.325564147350981159e-01,8.833548466877285676e-01,8.833548466877285676e-01,8.614743572929807192e-01,1.090837955599990028e-01,2.944184714702027805e-02,3.733692505831699426e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.029742870109349440e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.200000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,2.791766293187644705e+07,4.762080381176506810e-02,6.555469160559065922e-02,2.206330383681209683e+08,3.914609526724399067e+06,1.050672263452192396e+07,7.068983277145491540e+07,2.423937104044835083e+06,1.477730472012971044e+08,1.615044217662380252e+05,2.515158765917820390e+06,3.329944280323658967e-01,8.824556307072677352e-01,8.824556307072677352e-01,8.621449649361783152e-01,1.085674665161983909e-01,2.928756854762329387e-02,3.736467699542765364e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.029742870109349440e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.000000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,1.641088426524443366e+07,4.968350208081967478e-02,6.858419092247618198e-02,1.492157374739687145e+08,3.713299733758473303e+06,7.413560403278967366e+06,4.933954567347689718e+07,2.116399709244340193e+06,9.952464206834304333e+07,1.595258785870413412e+05,2.375010383191487286e+06,3.305458341130885769e-01,8.637434318584777948e-01,8.637434318584777948e-01,8.547298684137029090e-01,1.129918278669831966e-01,3.227830371931389442e-02,3.735059030040468464e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.172600012966492145e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.100000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,1.617142336303118058e+07,5.004201380453542070e-02,6.891901976798467389e-02,1.503697027222343087e+08,3.820230560290461406e+06,7.524802739409936592e+06,4.998701927208871394e+07,2.216480158046850935e+06,1.002035382449768484e+08,1.649022552880244330e+05,2.442277769565087743e+06,3.307876427741353043e-01,8.625215652114069931e-01,8.625215652114069931e-01,8.546286481239623312e-01,1.129079952879163962e-01,3.246335658812127267e-02,3.738428894780054246e-01,1.000000000000002415e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.172600012966492145e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.200000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,1.590233311635987647e+07,5.039670990979965015e-02,6.923610258983223242e-02,1.512325704883538187e+08,3.964500889639655594e+06,7.621623983814895153e+06,5.053777083613143861e+07,2.311858202551816124e+06,1.006831907171196491e+08,1.719137772825831198e+05,2.533382420530129224e+06,3.312770075936346537e-01,8.606524320818207396e-01,8.606524320818207396e-01,8.558617159628181259e-01,1.113846064187350576e-01,3.275367761844681647e-02,3.740540568421326095e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.172600012966492145e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.000000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,0.000000000000000000e+00,4.502209243894563645e-02,8.573391471033682543e-02,1.024748953137623668e+08,9.973721832158263028e+07,4.613634209487486631e+06,3.148442597897097096e+07,3.924774936375530087e+05,2.887530611550259218e+07,2.391205108128398191e+06,2.809370276062201336e+07,9.389916998446116159e-01,5.033848150896198526e-01,5.033848150896198526e-01,9.481777437830050115e-01,1.916853500963188253e-02,3.265372120736310946e-02,9.841887621606020264e-01,3.028828170575414980e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.315457155823635205e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.100000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,8.188934911163995974e+06,5.371759430215841680e-02,7.328497668960907985e-02,1.006220868144446313e+08,4.224896764471064322e+06,5.405176437334900722e+06,3.524805004466382414e+07,2.055927594714607112e+06,6.653636018480900675e+07,1.932325309659391060e+05,2.687377180066566449e+06,3.294034398761194748e-01,8.299380785320502607e-01,8.299380785320502607e-01,8.505703145406315890e-01,1.136406278266673398e-01,3.578905763270107121e-02,3.739130929642384138e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.315457155823635205e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.200000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,7.903587732972587459e+06,5.421952465136210819e-02,7.369756202025704028e-02,1.007857085303568244e+08,4.423981824784059078e+06,5.464553208166678436e+06,3.554782098132175207e+07,2.137868109403731767e+06,6.658931070350489765e+07,2.035664617013799143e+05,2.813880074249340687e+06,3.295123741931743067e-01,8.267802906766720250e-01,8.267802906766720250e-01,8.511125005663362497e-01,1.131141446948991242e-01,3.577335473876462613e-02,3.738647470363215541e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.315457155823635205e+01,2.583009153637717077e+02,9.676334616071228245e-01
2.000000000000000000e+02,4.285714285714285587e+00,4.000000000000000083e-02,1.000000000000000082e-05,9.000000000000000000e+01,0.000000000000000000e+00,4.909820449897361189e-02,7.955859422737461550e-02,4.989590513974496722e+07,5.700239467883964628e+07,2.449799354212586768e+06,1.635400052520511299e+07,5.048907458287985646e+05,1.697147082760857046e+07,1.530594588542642305e+06,1.942282019881082699e+07,6.824572048008828995e-01,4.833618526890133271e-01,4.833618526890133271e-01,7.624709679313486088e-01,2.057091790677829241e-02,2.169581141618731057e-01,8.887738372050149049e-01,2.329967431126185873e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.458314298680777910e+01,2.583009153637717077e+02,9.676334616071228245e-01
