# dt (s),ls (dB),Pec,QBERI,SKL (b),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,4.999999999999999774e-07,2.000000000000000042e-02,9.499781335223650932e+07,2.016196276712086544e+01
2.100000000000000000e+02,0.000000000000000000e+00,4.999999999999999774e-07,2.000000000000000042e-02,9.586096551328252256e+07,2.016196276712086544e+01
2.200000000000000000e+02,0.000000000000000000e+00,4.999999999999999774e-07,2.000000000000000042e-02,9.660510393157836795e+07,2.016196276712086544e+01
2.000000000000000000e+02,1.428571428571428603e+00,4.999999999999999774e-07,2.000000000000000042e-02,6.671460960083757341e+07,2.159053419569229249e+01
2.100000000000000000e+02,1.428571428571428603e+00,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,2.159053419569229249e+01
2.200000000000000000e+02,1.428571428571428603e+00,4.999999999999999774e-07,2.000000000000000042e-02,6.782454742054653168e+07,2.159053419569229249e+01
2.000000000000000000e+02,2.857142857142857206e+00,4.999999999999999774e-07,2.000000000000000042e-02,4.668148642196151614e+07,2.301910562426372309e+01
2.100000000000000000e+02,2.857142857142857206e+00,4.999999999999999774e-07,2.000000000000000042e-02,4.708977610441644490e+07,2.301910562426372309e+01
2.200000000000000000e+02,2.857142857142857206e+00,4.999999999999999774e-07,2.000000000000000042e-02,4.743820132621392608e+07,2.301910562426372309e+01
2.000000000000000000e+02,4.285714285714285587e+00,4.999999999999999774e-07,2.000000000000000042e-02,3.251017706271075085e+07,2.444767705283515014e+01
2.100000000000000000e+02,4.285714285714285587e+00,4.999999999999999774e-07,2.000000000000000042e-02,3.278435978207180649e+07,2.444767705283515014e+01
2.200000000000000000e+02,4.285714285714285587e+00,4.999999999999999774e-07,2.000000000000000042e-02,3.301625277062445506e+07,2.444767705283515014e+01
2.000000000000000000e+02,5.714285714285714413e+00,4.999999999999999774e-07,2.000000000000000042e-02,2.250125455817973986e+07,2.587624848140658074e+01
2.100000000000000000e+02,5.714285714285714413e+00,4.999999999999999774e-07,2.000000000000000042e-02,2.268065887251290306e+07,2.587624848140658074e+01
2.200000000000000000e+02,5.714285714285714413e+00,4.999999999999999774e-07,2.000000000000000042e-02,2.283020934269471094e+07,2.587624848140658074e+01
2.000000000000000000e+02,7.142857142857143238e+00,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,2.730481990997800779e+01
2.100000000000000000e+02,7.142857142857143238e+00,4.999999999999999774e-07,2.000000000000000042e-02,1.555889849893950857e+07,2.730481990997800779e+01
2.200000000000000000e+02,7.142857142857143238e+00,4.999999999999999774e-07,2.000000000000000042e-02,1.565047482126167789e+07,2.730481990997800779e+01
2.000000000000000000e+02,8.571428571428571175e+00,4.999999999999999774e-07,2.000000000000000042e-02,1.048598508749884553e+07,2.873339133854943839e+01
2.100000000000000000e+02,8.571428571428571175e+00,4.999999999999999774e-07,2.000000000000000042e-02,1.055168914358362742e+07,2.873339133854943839e+01
2.200000000000000000e+02,8.571428571428571175e+00,4.999999999999999774e-07,2.000000000000000042e-02,1.060276503431041539e+07,2.873339133854943839e+01
2.000000000000000000e+02,1.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.016196276712086544e+01
2.100000000000000000e+02,1.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,7.042946983130616136e+06,3.016196276712086544e+01
2.200000000000000000e+02,1.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,7.066036016817504540e+06,3.016196276712086544e+01
2.000000000000000000e+02,1.142857142857142883e+01,4.999999999999999774e-07,2.000000000000000042e-02,4.585619026996045373e+06,3.159053419569229249e+01
2.100000000000000000e+02,1.142857142857142883e+01,4.999999999999999774e-07,2.000000000000000042e-02,4.596827962513514794e+06,3.159053419569229249e+01
2.200000000000000000e+02,1.142857142857142883e+01,4.999999999999999774e-07,2.000000000000000042e-02,4.601022097592125647e+06,3.159053419569229249e+01
2.000000000000000000e+02,1.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,2.907372185722024180e+06,3.301910562426372309e+01
2.100000000000000000e+02,1.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,2.904322463890627492e+06,3.301910562426372309e+01
2.200000000000000000e+02,1.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,2.896544272780543659e+06,3.301910562426372309e+01
2.000000000000000000e+02,1.428571428571428648e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.444767705283515369e+01
2.100000000000000000e+02,1.428571428571428648e+01,4.999999999999999774e-07,2.000000000000000042e-02,1.745078233870921191e+06,3.444767705283515369e+01
2.200000000000000000e+02,1.428571428571428648e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.444767705283515369e+01
2.000000000000000000e+02,1.571428571428571530e+01,4.999999999999999774e-07,2.000000000000000042e-02,9.808508701758717652e+05,3.587624848140657718e+01
2.100000000000000000e+02,1.571428571428571530e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.587624848140657718e+01
2.200000000000000000e+02,1.571428571428571530e+01,4.999999999999999774e-07,2.000000000000000042e-02,9.455680984413027763e+05,3.587624848140657718e+01
2.000000000000000000e+02,1.714285714285714235e+01,4.999999999999999774e-07,2.000000000000000042e-02,4.720451908424929716e+05,3.730481990997800779e+01
2.100000000000000000e+02,1.714285714285714235e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.730481990997800779e+01
2.200000000000000000e+02,1.714285714285714235e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.730481990997800779e+01
2.000000000000000000e+02,1.857142857142857295e+01,4.999999999999999774e-07,2.000000000000000042e-02,1.592255441123647324e+05,3.873339133854943839e+01
2.100000000000000000e+02,1.857142857142857295e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.873339133854943839e+01
2.200000000000000000e+02,1.857142857142857295e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,3.873339133854943839e+01
2.000000000000000000e+02,2.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.016196276712086899e+01
2.100000000000000000e+02,2.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.016196276712086899e+01
2.200000000000000000e+02,2.000000000000000000e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.016196276712086899e+01
2.000000000000000000e+02,2.142857142857143060e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.159053419569229959e+01
2.100000000000000000e+02,2.142857142857143060e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.159053419569229959e+01
2.200000000000000000e+02,2.142857142857143060e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.159053419569229959e+01
2.000000000000000000e+02,2.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.301910562426372309e+01
2.100000000000000000e+02,2.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.301910562426372309e+01
2.200000000000000000e+02,2.285714285714285765e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.301910562426372309e+01
2.000000000000000000e+02,2.428571428571428470e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.444767705283514658e+01
2.100000000000000000e+02,2.428571428571428470e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.444767705283514658e+01
2.200000000000000000e+02,2.428571428571428470e+01,4.999999999999999774e-07,2.000000000000000042e-02,0.000000000000000000e+00,4.444767705283514658e+01
