# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
3.360000000000000000e+02,1.154720909866118091e-02,0.000000000000000000e+00,1.623395277910144596e-02,1.784896760323289797e-02,3.162277660168379134e-02,2.500616158539631404e+06,inf,0.000000000000000000e+00
3.350000000000000000e+02,1.269001284714401517e-02,0.000000000000000000e+00,1.632535022296595362e-02,1.948860125821497841e-02,3.162277660168379134e-02,2.493554233974767849e+06,inf,0.000000000000000000e+00
3.340000000000000000e+02,1.383615960776845254e-02,0.000000000000000000e+00,1.641751838213455911e-02,2.113303128809840975e-02,3.162277660168379134e-02,2.486492411984414794e+06,inf,0.000000000000000000e+00
3.330000000000000000e+02,1.498567789359341561e-02,0.000000000000000000e+00,1.651046579317088508e-02,2.278229860189409303e-02,3.162277660168379134e-02,2.479430702159930021e+06,inf,0.000000000000000000e+00
3.320000000000000000e+02,1.613859653805133076e-02,0.000000000000000000e+00,1.660420110891635756e-02,2.443644456826770187e-02,3.162277660168379134e-02,2.472369114177313168e+06,inf,0.000000000000000000e+00
3.310000000000000000e+02,1.729494469939103080e-02,0.000000000000000000e+00,1.669873310035599120e-02,2.609551102191409733e-02,3.162277660168379134e-02,2.465307657798402477e+06,inf,0.000000000000000000e+00
3.300000000000000000e+02,1.845475186519083752e-02,1.587714368416159150e-05,1.679407065851822034e-02,2.989301228475655867e-02,3.162277660168379134e-02,2.458246342872091569e+06,2.107188215974571183e+06,1.000107578810097486e+00
3.290000000000000000e+02,1.961804785694889683e-02,1.818869879080242319e-05,1.689022279640960827e-02,3.404028994499471578e-02,3.162277660168379134e-02,2.451185179335570429e+06,2.032798879880853230e+06,1.000398431300145274e+00
3.280000000000000000e+02,2.078486283474802535e-02,2.052069454081734527e-05,1.698719865098524337e-02,3.820011317600609940e-02,3.162277660168379134e-02,2.444124177215579432e+06,1.958184515043657273e+06,1.000012988129195257e+00
3.270000000000000000e+02,2.195522730199643210e-02,2.290790897066298943e-05,1.708500748515532838e-02,4.237259072578290764e-02,3.162277660168379134e-02,2.437063346629694570e+06,1.883343170860298211e+06,1.000657044346510371e+00
3.260000000000000000e+02,2.312917211024776570e-02,2.531727478899537919e-05,1.718365868982892411e-02,4.655783258349396186e-02,3.162277660168379134e-02,2.430002697787622921e+06,1.808272874465220142e+06,1.000710745331817808e+00
3.250000000000000000e+02,2.430672846410180526e-02,2.774574579965263208e-05,1.728316178599538164e-02,5.075594999695622056e-02,3.162277660168379134e-02,2.422942240992535371e+06,1.732971630416611675e+06,1.000198610400737431e+00
3.240000000000000000e+02,2.548792792618725239e-02,3.021186382937907300e-05,1.738352642684454566e-02,5.496705549039897221e-02,3.162277660168379134e-02,2.415881986642405391e+06,1.657437420377772301e+06,9.998553238616729733e-01
3.230000000000000000e+02,2.667280242222357101e-02,3.269961803715267130e-05,1.748476239992618683e-02,5.919126288250987217e-02,3.162277660168379134e-02,2.408821945231384598e+06,1.581668202793420758e+06,9.991376823324749079e-01
3.220000000000000000e+02,2.786138424617336934e-02,3.525804218022446238e-05,1.758687962934971441e-02,6.342868730480369366e-02,3.162277660168379134e-02,2.401762127351194620e+06,1.505661912560216617e+06,9.995020250285802099e-01
3.210000000000000000e+02,2.905370606547604331e-02,3.784372606433312406e-05,1.768988817802490815e-02,6.767944522028092325e-02,3.162277660168379134e-02,2.394702543692545034e+06,1.429416460692084627e+06,9.995672363076014699e-01
3.200000000000000000e+02,3.024980092637321802e-02,4.048238280465109263e-05,1.779379824994452991e-02,7.194365444241344887e-02,3.162277660168379134e-02,2.387643205046576448e+06,1.352929733979667537e+06,1.000011307435402674e+00
3.190000000000000000e+02,3.144970225931957575e-02,4.315376907007709769e-05,1.789862019250974476e-02,7.622143415443481673e-02,3.162277660168379134e-02,2.380584122306325007e+06,1.276199594644320197e+06,1.000281103885335643e+00
3.180000000000000000e+02,3.265344388449043650e-02,4.588602086766538455e-05,1.800436449889897261e-02,8.051290492897537898e-02,3.162277660168379134e-02,2.373525306468223222e+06,1.199223879985915963e+06,1.001006978655177848e+00
3.170000000000000000e+02,3.386106001737634874e-02,4.852454418413425593e-05,1.811104181048163800e-02,8.481818874800753361e-02,3.162277660168379134e-02,2.366466768633608241e+06,1.122000402025089599e+06,9.989161560631171222e-01
