# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.398988967831882834e+07,4.384429604123629698e-02,6.136330312987445246e-02,2.187347670205197632e+08,2.957246035584570840e+06,9.590271879758518189e+06,6.588125935353435576e+07,1.126687038653444732e+06,1.480060256656120121e+08,1.146745223908147163e+05,1.915370598903808277e+06,3.292467448426443788e-01,8.958369277140665332e-01,8.958369277140665332e-01,8.582127145843637672e-01,1.145096400922245572e-01,2.727764532341167558e-02,3.702995486233641165e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.009279053482744359e+01
2.100000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.408400163504473865e+07,4.397790099689527499e-02,6.149799765432524545e-02,2.207586144544707537e+08,3.005792971687199082e+06,9.708500490690488368e+06,6.664288864356423914e+07,1.182761171662620036e+06,1.493232078435483873e+08,1.168113825964602293e+05,1.946340116073719691e+06,3.294548051409135758e-01,8.955064636033303049e-01,8.955064636033303049e-01,8.587892980504193696e-01,1.138736548913473062e-01,2.733704705823332415e-02,3.703672604838458837e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.009279053482744359e+01
2.200000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,3.412697942742271721e+07,4.411453322306733982e-02,6.163075338895799421e-02,2.224623559990329146e+08,3.046860239872522652e+06,9.813822994601171464e+06,6.731376017072696984e+07,1.239099755345534533e+06,1.504272492911915481e+08,1.186643194052479375e+05,1.972570608718756586e+06,3.295269605593901252e-01,8.952309320975568863e-01,8.952309320975568863e-01,8.587518141190253473e-01,1.138449489297432421e-01,2.740323695123141057e-02,3.704707931159262335e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.009279053482744359e+01
2.000000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.174771349300729111e+07,4.519051602749391688e-02,6.376442796390688339e-02,1.520100389962773025e+08,2.671614674331406597e+06,6.869412103601244278e+06,4.683441245351427048e+07,1.099736029642540030e+06,1.025900311516092569e+08,1.070937878311707464e+05,1.722925618508705404e+06,3.262144763089236399e-01,8.829463190757899094e-01,8.829463190757899094e-01,8.488096280954329220e-01,1.206670080400703698e-01,3.052336386449670813e-02,3.701039256703582692e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.152136196339887064e+01
2.100000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.173523686136926338e+07,4.537920300917347438e-02,6.398081904617142213e-02,1.533985053299333155e+08,2.706693690919440705e+06,6.961101914670823142e+06,4.740986359921674430e+07,1.154902623258381151e+06,1.034938979873672873e+08,1.088644196666456119e+05,1.745115508865651907e+06,3.262534859847450730e-01,8.827419286661469799e-01,8.827419286661469799e-01,8.488702229396314358e-01,1.206259003446534944e-01,3.050387671571506976e-02,3.701283040206533870e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.152136196339887064e+01
2.200000000000000000e+02,1.428571428571428603e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.168780543362880871e+07,4.556239664039608145e-02,6.414547418825558567e-02,1.546046189143616557e+08,2.775035191117367242e+06,7.044156969413427636e+06,4.792691749394537508e+07,1.207558090077639557e+06,1.042296662270198315e+08,1.118856723922862002e+05,1.788320947819804074e+06,3.267954692401560113e-01,8.818538364455972278e-01,8.818538364455972278e-01,8.498795458458784369e-01,1.195605207822391380e-01,3.055993337188242509e-02,3.704518113194204543e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.152136196339887064e+01
2.000000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.332545773698445968e+07,4.705978903977959399e-02,6.672382930972821369e-02,1.048596267409031987e+08,2.501928355978019070e+06,4.934671913216935471e+06,3.330101577446750179e+07,1.062899088508981047e+06,7.048608488875100017e+07,1.043939361151691264e+05,1.605596715908409329e+06,3.234756905027545981e-01,8.662012417469024950e-01,8.662012417469024950e-01,8.394596803460872003e-01,1.265169426501638605e-01,3.402337700374893914e-02,3.702667364674306349e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.294993339197030124e+01
2.100000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,0.000000000000000000e+00,4.391382922965587909e-02,6.053804589266144343e-02,3.327869263608922064e+07,1.204749721367073655e+08,1.461394825407428667e+06,1.003522370259938762e+07,1.335274840184185014e+05,1.319117061171582527e+07,2.881838887189873494e+06,4.809865324061853439e+07,6.480835831199899255e-01,3.445094535156095761e-01,3.445094535156095761e-01,7.644351225772753056e-01,9.775819100169610976e-02,1.378066864210285847e-01,8.253738322860459942e-01,1.753186744631307081e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.294993339197030124e+01
2.200000000000000000e+02,2.857142857142857206e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.314306906038641371e+07,4.757691963353796738e-02,6.722019866043328629e-02,1.065362009348369837e+08,2.614301326904767193e+06,5.068664269939191639e+06,3.411027685681527108e+07,1.165721469401331851e+06,7.150543937429727614e+07,1.098714167944285145e+05,1.676253877857528161e+06,3.240257804890289695e-01,8.645660901132876663e-01,8.645660901132876663e-01,8.396529299992420148e-01,1.260273082387838028e-01,3.431976176197418238e-02,3.708949716467155877e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.294993339197030124e+01
2.000000000000000000e+02,4.285714285714285587e+00,4.000000000000000083e-02,5.000000000000000409e-06,9.000000000000000000e+01,7.607102893351851963e+06,4.964050747210963649e-02,7.036674583252425230e-02,7.144067637660235167e+07,2.468333312005901709e+06,3.546351429485295434e+06,2.360733965111747384e+07,1.010750549556026934e+06,4.773748811503737420e+07,1.080612093814158870e+05,1.575378069100597408e+06,3.212202053873264296e-01,8.432567188948366654e-01,8.432567188948366654e-01,8.309252160040915269e-01,1.313244050397022744e-01,3.775037895620619866e-02,3.707767666083672253e-01,1.000000000000002137e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.437850482054172829e+01
