# dt (s),ls (dB),QBERI,Pec,maxElev (deg),SKL (b),QBER,phiX,nX,nZ,mX,lambdaEC,sX0,sX1,vZ1,sZ1,mean photon no.,PxA,PxB,P1,P2,P3,mu1,mu2,mu3,eps_c,eps_s,Pap,NoPass,fs (Hz),minElev (deg),shiftElev (deg),SysLoss (dB)
2.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.829551705576745793e+07,5.462345725713325939e-02,7.174857781213367369e-02,1.664192374807399809e+08,3.254140001495134551e+06,9.090394105293909088e+06,5.901840994680814445e+07,1.156436348887457279e+06,1.213505631696061939e+08,1.609170305401695368e+05,2.289656430670312606e+06,2.605144770582345504e-01,8.773198474655763412e-01,8.773198474655763412e-01,8.175647392613666353e-01,1.524505527982433495e-01,2.998470794039001519e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.025702208222884693e+01
2.100000000000000000e+02,0.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,0.000000000000000000e+00,5.277680778707157655e-02,2.008776550689566620e-01,3.530684682715150118e+08,1.929443997139838059e+06,1.863382668564152718e+07,1.220804642945611775e+08,1.198123735297073610e+06,1.368585560811251104e+08,1.018298949729682936e+05,5.193163880359173636e+05,4.889830349304913892e-01,9.311644171825339544e-01,9.311644171825339544e-01,6.211377517937020087e-01,2.415192544730578820e-03,3.764470556615673869e-01,7.863302643806941994e-01,2.333653881755189674e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.025702208222884693e+01
2.200000000000000000e+02,0.000000000000000000e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.821471344263230637e+07,5.495588676495092445e-02,7.207068523006723848e-02,1.690785438415646851e+08,3.376095016252559610e+06,9.291861309739818797e+06,6.022938202408894151e+07,1.270128287935044616e+06,1.232035622847231030e+08,1.676984855801532976e+05,2.374464190500908066e+06,2.607457631347063765e-01,8.761885887913494209e-01,8.761885887913494209e-01,8.187197369795696789e-01,1.512984204083527573e-01,2.998184261207756385e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.025702208222884693e+01
2.000000000000000000e+02,1.428571428571428603e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.105202344219114818e+07,5.627926395036751683e-02,7.420344978255793977e-02,1.143062866273802221e+08,3.063216640756271314e+06,6.433073676288696006e+06,4.143528490658976138e+07,1.113642940330407582e+06,8.305108841628696024e+07,1.559573165972692659e+05,2.146485283626921941e+06,2.581243271494929048e-01,8.593265807350050078e-01,8.593265807350050078e-01,8.073735494135559909e-01,1.591226232542590768e-01,3.350382733218493225e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.168559351080027398e+01
2.100000000000000000e+02,1.428571428571428603e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,0.000000000000000000e+00,5.445084441602558722e-02,1.124590108048024728e-01,3.635953411608114839e+07,8.757685718379902840e+07,1.979807335193909006e+06,1.286447048255906813e+07,2.166648894692934700e+05,1.624988969087032601e+07,4.625700964153712615e+06,4.141617566697554290e+07,3.931084302720923018e-01,3.918529284724820427e-01,3.918529284724820427e-01,7.583899265950083679e-01,4.888579211309627970e-02,1.927242812918953385e-01,4.893881772387330686e-01,4.492382246509867283e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.168559351080027398e+01
2.200000000000000000e+02,1.428571428571428603e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,1.086783275983328559e+07,5.674029185645219214e-02,7.461861430822941399e-02,1.159157264177088290e+08,3.217381666016820353e+06,6.577092147693464532e+06,4.227046840336355567e+07,1.220163718103213469e+06,8.413664662206028402e+07,1.647397946547525644e+05,2.253451807390618604e+06,2.584146972194008574e-01,8.571903981401747252e-01,8.571903981401747252e-01,8.089543570918168447e-01,1.572839009185558190e-01,3.376174198962733630e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.168559351080027398e+01
2.000000000000000000e+02,2.857142857142857206e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,0.000000000000000000e+00,5.456778128189320592e-02,9.249245344194018115e-02,4.788599694025637954e+07,6.214795448789104819e+07,2.613032607501317281e+06,1.696942015916913003e+07,2.586879346363182703e+05,2.277959129360570759e+07,2.737399787738280371e+06,2.981268549010847509e+07,5.098468004829387334e-01,4.674592126538897330e-01,4.674592126538897330e-01,8.993490827265520071e-01,4.161537232774559052e-03,9.648938004067343643e-02,5.656376941208076659e-01,2.741917363713174960e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.311416493937170458e+01
2.100000000000000000e+02,2.857142857142857206e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,0.000000000000000000e+00,5.316606500523000239e-02,5.000000000000000000e-01,1.324806979153098017e+08,5.136477691566696018e+07,7.043477397303599864e+06,4.605670257149785012e+07,3.127595900605675415e+05,2.263478337307444587e+07,2.730863068477487657e+06,3.384984146284320857e+06,8.071445065373664685e-01,6.162690892321748271e-01,6.162690892321748271e-01,9.959414638400000408e-01,5.016082187837702202e-05,4.008375338121582601e-03,8.104135146725832684e-01,4.004005094499852868e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.311416493937170458e+01
2.200000000000000000e+02,2.857142857142857206e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,5.918970379053941928e+06,5.921744343729316851e-02,7.774195874261163874e-02,7.803498364692494273e+07,3.257776576796967071e+06,4.621032230241875164e+06,2.935859412949567661e+07,1.148448268085084623e+06,5.633512689607136697e+07,1.731192882236566220e+05,2.272004249647986144e+06,2.561243351211214825e-01,8.303424414447538870e-01,8.303424414447538870e-01,7.993204713171654374e-01,1.632819372597165974e-01,3.739759142311796514e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.311416493937170458e+01
2.000000000000000000e+02,4.285714285714285587e+00,5.000000000000000278e-02,5.000000000000000409e-06,9.000000000000000000e+01,2.936452245139754377e+06,6.171895729507911876e-02,8.075111409781644822e-02,5.049617419785118103e+07,3.393172444107498042e+06,3.116571218882053159e+06,1.957777330098840594e+07,9.554302073007012950e+05,3.622275919155003875e+07,1.866443416098778252e+05,2.356924419235143345e+06,2.545439817314082975e-01,7.941404400026084165e-01,7.941404400026084165e-01,7.931390180516642019e-01,1.660227631590883990e-01,4.083821878924739912e-02,3.000000000000002109e-01,1.000000000000002276e-01,0.000000000000000000e+00,1.000000000000000078e-15,1.000000000000000062e-09,1.000000000000000021e-03,1.000000000000000000e+00,5.000000000000000000e+08,1.000000000000000000e+01,0.000000000000000000e+00,2.454273636794313163e+01
