# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m),sigma2,T_turb
2.530000000000000000e+02,1.127044968803605357e-01,3.289714111481909105e-04,2.644843796627610946e-02,3.939645066072500201e-01,3.162277660168379134e-02,1.954509065783918835e+06,2.236144219060706091e+05,9.983918637617689162e-01
2.520000000000000000e+02,1.141885655568627977e-01,3.348665948079673814e-04,2.663277649387362292e-02,3.983602625491615701e-01,3.162277660168379134e-02,1.947650221248399001e+06,2.182843610029302072e+05,9.981122172478147370e-01
2.510000000000000000e+02,1.156790355812900989e-01,3.428968932755044330e-04,2.681897644729654834e-02,4.027749790443300171e-01,3.162277660168379134e-02,1.940793732308523962e+06,2.129313095368577051e+05,1.003826988372470863e+00
2.500000000000000000e+02,1.171759701532846670e-01,3.490672359312746225e-04,2.700706167575787561e-02,4.072088432877331021e-01,3.162277660168379134e-02,1.933939632488824660e+06,2.075550405251348857e+05,1.003724557563551389e+00
2.490000000000000000e+02,1.186794332503513794e-01,3.547891825760248765e-04,2.719705638714337709e-02,4.116620447783486680e-01,3.162277660168379134e-02,1.927087955749054905e+06,2.021553241913352394e+05,1.002092106619002498e+00
2.480000000000000000e+02,1.201894896386960371e-01,3.607188327695683627e-04,2.738898515393327349e-02,4.161347753512571468e-01,3.162277660168379134e-02,1.920238736491519026e+06,1.967319279263976496e+05,1.000826661370396220e+00
2.470000000000000000e+02,1.217062048842286470e-01,3.660548155418081196e-04,2.758287291922200540e-02,4.206272292102329891e-01,3.162277660168379134e-02,1.913392009568551788e+06,1.912846162491081050e+05,9.977212972706045457e-01
2.460000000000000000e+02,1.232296453637145156e-01,3.727792479272833072e-04,2.777874500283766812e-02,4.247123215908971683e-01,3.162277660168379134e-02,1.906547810290133581e+06,1.896236738071961154e+05,9.991811813587990754e-01
2.450000000000000000e+02,1.247598782760794417e-01,3.785764175410625859e-04,2.797662710756217141e-02,4.286259978593773834e-01,3.162277660168379134e-02,1.899706174431663705e+06,1.896464581945862155e+05,9.983428081508376462e-01
2.440000000000000000e+02,1.262969716538751841e-01,3.853451928990853136e-04,2.817654532545351906e-02,4.325572202416095302e-01,3.162277660168379134e-02,1.892867138241883600e+06,1.896693447308065952e+05,9.998126699720154553e-01
